asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
apenft,2400000,99999000000000,,19999800000000,IEO ,2021-05,$ 7.20e-8,"18.17x ( +1,717.3% )","119.17x ( +11,816.7% )","$ 288,000","3,999,960,000,000",,,IEO ,2021-05,$ 1.32e-7,9.91x ( +891.3% ),"65x ( +6,400% )","$ 2,112,000","15,999,840,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ontology,,100000000,,,ICO ,2018-01,$ 0.200,2.07x ( +106.7% ),"55.88x ( +5,488.3% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wax,9600000,377030332,,,ICO ,2017-11,$ 0.320,0.56x ( -44.4% ),"15.66x ( +1,466.3% )","$ 9,600,000",,,No / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swissborg,50000000,100000000,,,ICO ,2018-01,$ 0.100,3.51x ( +251.4% ),"16.47x ( +1,547.4% )","$ 50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucypher,15850000,388539008,390000000,,Private ,2016-09,,,,"$ 750,000",,,,Private ,2017-12,$ 0.0142,"19.33x ( +1,833.3% )","166.55x ( +16,555.3% )","$ 4,400,000","310,000,000",,,Private ,2019-07,$ 0.130,2.11x ( +111.2% ),"18.19x ( +1,719.3% )","$ 10,700,000","80,000,000",,,,,,,,,,,,,,,,,,,,
immutable-x,42480000,200000000,285200000,106000000,IEO ,2021-11,$ 0.160,8.43x ( +743.1% ),"59.51x ( +5,851.2% )","$ 960,000","6,000,000",,200$ max.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rally,,1500000000,,40000000,ICO ,2021-04,$ 0.600,0.19x ( -80.7% ),2.34x ( +133.7% ),,"40,000,000","12 month linear release with a 6 month cliff. 50% of tokens release on October 4, 2021, after which tokens continue to unlock linearly on a monthly basis",$100 / $1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aleph-zero,14850000,30000000,100000000,100000000,ICO ,2021-10,$ 0.100,"16.66x ( +1,566.5% )","30.87x ( +2,986.9% )","$ 10,000,000","100,000,000",No lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project-galaxy,15000000,20000000,,10000000,ICO ,2022-02,$ 1.50,5.87x ( +487.2% ),"13.75x ( +1,274.8% )","$ 15,000,000","10,000,000","12-month weekly linear unlock starting on or around April 14, 2022",Min: $100;  Max: $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nervos,97487295,3360000000,,,Private/Pre-sale ,2018-07,$ 0.006,1.4x ( +40.4% ),7.9x ( +689.9% ),"$ 28,000,000",,,,ICO ,2019-10,$ 0.01,0.84x ( -15.7% ),4.74x ( +374% ),"$ 69,487,295",,,min - $1 000,,,,,,,,,,,,,,,,,,,,,,,,,,,
casper,73900000,1085161212,,1700000000,ICO ,2021-03,$ 0.03,1.93x ( +92.8% ),"679.7x ( +67,869.7% )","$ 12,000,000","400,000,000",40 days,$100 / $5K,ICO ,2021-03,$ 0.02,2.89x ( +189.2% ),"1019.55x ( +101,854.5% )","$ 8,000,000","400,000,000",6 months,$50K / $250K,ICO ,2021-03,$ 0.015,3.86x ( +285.6% ),"1359.39x ( +135,839.4% )","$ 12,000,000","800,000,000",12 months,$100 / $1K,ICO ,2021-04,$ 0.015,3.86x ( +285.6% ),"1359.39x ( +135,839.4% )","$ 1,500,000","100,000,000","12 months, 6-month post-lockup release",$100,,,,,,,,,
illuvium,5000000,700000,2000000,1000000,IDO ,2021-03,$ 50.00,8.38x ( +737.5% ),"38.31x ( +3,730.9% )",,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dao-token,4500000,27752400,,45000000,IEO ,2021-01,$ 0.100,"27.74x ( +2,673.7% )","87.3x ( +8,630.3% )","$ 300,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polymath-network,96194697,100000000,,,ICO ,2018-01,$ 0.400,0.75x ( -25.1% ),4.14x ( +314.5% ),"$ 96,194,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
republic-protocol,34299022,100000000,,,ICO ,2018-02,$ 0.0571,4.58x ( +358.4% ),"31.89x ( +3,088.5% )","$ 34,299,022",,,TBA / 1 ETH max for first 5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radio-caca,72355,43141823327,,100000000,IEO ,2021-08,$ 0.000724,1.14x ( +13.8% ),"16.47x ( +1,547.1% )","$ 72,355","100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxc,,266496580,,,Private/Pre-sale ,2018-09,$ 0.015,6.8x ( +579.8% ),9.01x ( +801.3% ),,,,,ICO ,2018-10,$ 0.015,6.8x ( +579.8% ),9.01x ( +801.3% ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telcoin,25000000,10000000000,,,ICO ,2017-12,$ 0.0013,2.82x ( +182.2% ),"50.01x ( +4,901.1% )","$ 25,000,000",,,0.1 ETH / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wink-token,16000000,99900000000,149850000000,49950000000,IEO ,2019-07,$ 0.00012,1.97x ( +96.6% ),"24.6x ( +2,359.6% )","$ 6,000,000","49,950,000,000",,"Allocation Per Winning Ticket	30 USD (249,750 WIN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-radix,12700000,64200000,,642000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence,3700000,13683417,24000000,1000000,IEO ,2021-03,$ 0.400,5.08x ( +408.1% ),"41.45x ( +4,045.3% )",,"1,000,000",,$400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wazirx,2900000,100000000,50000000,100000000,IEO ,2020-02,$ 0.02,"22.19x ( +2,118.8% )","316.49x ( +31,549.5% )","$ 2,000,000","100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injective-protocol,7100000,10000000,22670000,9000000,IEO ,2020-10,$ 0.400,8.89x ( +789.3% ),"62.78x ( +6,178.2% )","$ 3,600,000","9,000,000",No lockup,Allocation per winning ticket: 200 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keep-network,30000000,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medibloc,21271251,859197506,,,ICO ,2017-12,$ 0.0088,4.13x ( +312.9% ),"39.98x ( +3,898.5% )","$ 21,271,251",,,No / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coin-98,16250000,100000000,200000000,50000000,IEO ,2021-07,$ 0.075,"13.46x ( +1,245.9% )","84.81x ( +8,381.3% )","$ 3,750,000","50,000,000",,$20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coti,19016000,200000000,200200000,46152000,Private/Pre-sale ,2018-06,$ 0.08,2.23x ( +122.8% ),8.38x ( +738.1% ),"$ 16,016,000","200,200,000",,,IEO ,2019-06,$ 0.065,2.74x ( +174.2% ),10.32x ( +931.5% ),"$ 3,000,000","46,152,000",,Allocation Per Winning Ticket: 500 USD (7692 COTI),,,,,,,,,,,,,,,,,,,,,,,,,,,
holoride,6000000,100000000,200000000,50000000,IDO ,2021-11,$ 0.04,"22.16x ( +2,116.2% )","49.05x ( +4,804.8% )","$ 2,000,000","50,000,000",No lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status,107664907,680487017,,,ICO ,2017-06,$ 0.037,1.25x ( +24.6% ),"18.27x ( +1,726.9% )","$ 107,664,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dent,,10000000000,,,ICO ,2017-07,$ 0.0006,3.16x ( +215.9% ),"185.66x ( +18,466.2% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbs,,1000000000,,,Private/Pre-sale ,2018-04,$ 0.100,0.61x ( -39.3% ),3.6x ( +259.6% ),,,,,ICO ,2018-05,$ 0.100,0.61x ( -39.3% ),3.6x ( +259.6% ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin-protocol,38110000,100000000,281300000,,Private ,2017-11,$ 0.0685,5.43x ( +442.8% ),"49.58x ( +4,858.2% )","$ 3,000,000","43,800,000",,,Private/Pre-sale ,2018-04,$ 0.120,3.1x ( +209.9% ),"28.3x ( +2,730.3% )","$ 28,510,000","237,500,000",,,ICO ,2018-07,$ 0.136,2.73x ( +172.6% ),"24.9x ( +2,390% )","$ 6,600,000",,,,,,,,,,,,,,,,,,,,,
chromia,2000000,56736943,179600000,40000000,Private/Pre-sale ,2018-08,$ 0.058,5.27x ( +427.1% ),"25.78x ( +2,478% )",,"179,600,000",,,IEO ,2019-05,$ 0.05,6.11x ( +511.4% ),"29.91x ( +2,890.5% )","$ 2,000,000","40,000,000",,"Allocation Per Winning Ticket: 500 USD = 10,000 CHR = 455 KCS",,,,,,,,,,,,,,,,,,,,,,,,,,,
fetch-ai,23000000,115299757,,69205152,Private/Pre-sale ,2018-09,$ 0.0527,4.67x ( +366.6% ),"22.05x ( +2,105.3% )","$ 17,000,000",,,,IEO ,2019-02,$ 0.0867,2.83x ( +183.5% ),"13.4x ( +1,239.7% )","$ 6,000,000","69,205,152",,20$ / 3000$,,,,,,,,,,,,,,,,,,,,,,,,,,,
celer-network,34000000,1000000000,1500000000,600000000,Private/Pre-sale ,2018-07,$ 0.015,2.06x ( +105.7% ),"13.2x ( +1,219.9% )","$ 30,000,000","1,500,000,000",9 months vesting starts from private sale closing. 1/3 every 3 months.,,IEO ,2019-03,$ 0.0067,4.61x ( +360.5% ),"29.55x ( +2,855.1% )","$ 4,000,000","600,000,000",,$20-$1500,,,,,,,,,,,,,,,,,,,,,,,,,,,
xyo-network,12000000,1393122607,,,ICO ,2018-05,$ 0.0072,1.85x ( +84.7% ),"11.41x ( +1,040.6% )","$ 12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sifchain,4600000,154621706,325000000,,ICO ,2021-02,$ 0.03,4.5x ( +350.2% ),"46.61x ( +4,561.4% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
civic,33000000,100000000,,,ICO ,2016-06,$ 0.100,2.44x ( +143.6% ),"16.62x ( +1,562.1% )","$ 33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-ledger,13240000,100000000,,,ICO ,2017-10,$ 0.0838,4.49x ( +349.2% ),"24x ( +2,300% )","$ 13,240,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tribe-fei-protocol,,100000000,,200000000,ICO ,2021-04,,,,,"200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mask-network,,10000000,,,ICO ,2021-02,$ 0.950,3.61x ( +260.5% ),"39.29x ( +3,829.1% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurora-evm,5774689,100000000,,1011495,IEO ,2021-11,$ 8.70,0.79x ( -20.9% ),4.09x ( +308.6% ),"$ 100,000","11,495",,,IDO ,2021-11,$ 8.19,0.84x ( -16% ),4.34x ( +334% ),"$ 5,324,689","650,000",,,IDO ,2021-11,$ 1.00,6.88x ( +588.3% ),"35.55x ( +3,454.9% )","$ 300,000","300,000",100% unlocked at TGE,,IDO ,2021-11,$ 1.00,6.88x ( +588.3% ),"35.55x ( +3,454.9% )","$ 50,000","50,000",100% unlocked at TGE,,,,,,,,,,
weway,2400000,1000000000,600000000,120000000,IDO ,2022-01,$ 0.005,"11.72x ( +1,072.4% )","14.5x ( +1,350.2% )","$ 300,000","60,000,000","10% unlock at TGE, 1m further cliff, vesting for 5 months",,IDO ,2022-01,$ 0.005,"11.72x ( +1,072.4% )","14.5x ( +1,350.2% )","$ 300,000","60,000,000","10% unlock at TGE, 1m further cliff, vesting for 5 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,
api-3,26000000,11267520,10000000,20000000,ICO ,2020-12,$ 2.00,1.55x ( +54.9% ),5.21x ( +420.6% ),"$ 23,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocean-protocol,5640000,61309914,,,Private/Pre-sale ,2019-03,$ 0.250,1.44x ( +44% ),7.75x ( +675.2% ),,,,,IEO ,2019-05,$ 0.120,3x ( +200% ),"16.15x ( +1,514.9% )","$ 5,640,000",,,0.365 / 1.825 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2x,,200000000,,,IEO ,2022-03,$ 0.08,"24.52x ( +2,352% )","59.97x ( +5,896.8% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perpetual-protocol,2300000,15000000,28750000,7500000,ICO ,2020-09,,,,,"7,500,000",No lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,13939000,98624541,130000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultra,5000000,100000000,,100000000,IEO ,2019-07,$ 0.05,"11.01x ( +1,000.7% )","49.64x ( +4,864.2% )","$ 5,000,000","100,000,000",,20-5000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto-com-mco,26700000,3158768,,,ICO ,2017-06,$ 2.89,3.24x ( +223.8% ),"24.63x ( +2,363.1% )","$ 26,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
league-of-kingdoms,4000000,14624230,,25000000,IEO ,2022-01,$ 0.160,"15.82x ( +1,482.1% )","33.44x ( +3,243.6% )","$ 4,000,000","25,000,000",No lockup,Hard Cap Per User: $15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maple-finance,1300000,1000000,2600000,500000,IEO ,2021-05,$ 5.00,7.61x ( +660.7% ),"13.64x ( +1,263.9% )",,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartesi,2300000,100000000,76700000,100000000,Private ,2017-08,$ 0.005,"50.04x ( +4,903.5% )","349.08x ( +34,808.3% )","$ 100,000","20,000,000",12 month cliff; 14.3% unlocks every quarter afterwards,,Private/Pre-sale ,2019-05,$ 0.01,"25.02x ( +2,401.8% )","174.54x ( +17,354.2% )","$ 500,000","50,000,000",12-month cliff; 11.1% unlocks every quarter afterwards,,Private/Pre-sale ,2019-12,$ 0.03,8.34x ( +733.9% ),"58.18x ( +5,718.1% )","$ 200,000","6,700,000",,,IEO ,2020-04,$ 0.015,"16.68x ( +1,567.8% )","116.36x ( +11,536.1% )","$ 1,500,000","100,000,000",,200 USD ≈ 13333.33 CTSI,,,,,,,,,
stepapp,2750000,500000000,,561224490,IDO ,2022-04,$ 0.0049,"116.51x ( +11,550.8% )","148.3x ( +14,730.2% )","$ 2,750,000","561,224,490","10% at TGE, 90 days cliff then 5% monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my-neighbor-alice,2200000,10000000,21000000,800000,IDO ,2021-02,$ 0.125,"35.8x ( +3,480.2% )","318.43x ( +31,742.8% )","$ 100,000","800,000",No Lock-up,SHO Individual Cap: $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reserve-rights-token,5000000,10000000000,1000000000,3000000000,Private/Pre-sale ,2018-12,$ 0.002,3.99x ( +299% ),"59.38x ( +5,838% )","$ 2,000,000","1,000,000,000",,,IEO ,2019-05,$ 0.0011,7.25x ( +625.4% ),"107.96x ( +10,696.5% )","$ 3,000,000","3,000,000,000",,"Individual cap is proportional to lowest daily HT holdings over 7 days period before launch date, please see the following reference table for more info (May 15, 00:00:00 to May 21, 23:59:59):

Trench	Lowest Daily HT holding（in HT）	Individual Cap (in USDT)
First Trench	1000≤x<2000	400
Second Trench	2000≤x<3000	800
Third Trench	3000≤x<4000	1200
Fourth Trench	4000≤x<5000	1600
Fifth Trench	x≥5000	2000",,,,,,,,,,,,,,,,,,,,,,,,,,,
hxro,200000,100000000,,,Private/Pre-sale ,2018-12,$ 0.02,"15.2x ( +1,419.5% )","41.75x ( +4,075.4% )","$ 200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
request-network,33600000,99987600,,,ICO ,2017-10,$ 0.0672,2.54x ( +154.4% ),"17.62x ( +1,661.9% )","$ 33,600,000",,,No / 6.7 ETH for first day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metisdao,150000,541000,1450000,30000,IDO ,2021-05,$ 5.00,8.48x ( +747.6% ),"66.4x ( +6,540.4% )","$ 100,000","20,000",,$100,IEO ,2021-05,$ 5.00,8.48x ( +747.6% ),"66.4x ( +6,540.4% )","$ 50,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitmax-token,13672800,74298347,,,ICO ,2018-07,$ 0.0182,9.55x ( +854.9% ),"179.22x ( +17,821.7% )","$ 13,672,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukso,220000,10000000,10000000,1000000,IEO ,2020-05,$ 0.220,"38x ( +3,700.2% )","187.51x ( +18,651.1% )","$ 220,000","1,000,000",No lockup,Min 160 USDT/ Max 320 USDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origintrail,21513600,50000000,,,ICO ,2018-01,$ 0.100,3.44x ( +243.6% ),"34.4x ( +3,340.1% )","$ 21,513,600",,,0.5 ETH / TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storm,30716420,1000000000,,,ICO ,2017-12,$ 0.0113,1.2x ( +19.6% ),"21.82x ( +2,082.1% )","$ 30,716,420",,,No / 350 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sperax,4700000,499077593,,23500000,ICO ,2020-08,$ 0.02,7.1x ( +609.7% ),"12.09x ( +1,109.4% )","$ 4,700,000","23,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mines-of-dalarnia,900000,80000000,,12000000,IDO ,2021-11,$ 0.075,"13.28x ( +1,228.1% )","109.91x ( +10,891.1% )","$ 900,000","12,000,000",,Basic sale allocation $100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyber-network,52000000,5402016,,,ICO ,2017-09,$ 0.380,6.16x ( +515.7% ),"15.79x ( +1,479.2% )","$ 52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floki-inu-new,91600,1000000000000,,2000000000,IEO ,2021-09,$ 0.0000458,0.28x ( -71.8% ),7.46x ( +646.4% ),"$ 91,600","2,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storj,30000000,42499999,,,ICO ,2017-05,$ 0.500,1.59x ( +59.3% ),7.78x ( +677.8% ),"$ 30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band-protocol,10850158,10000000,,12368200,IEO ,2019-09,$ 0.473,5.71x ( +471.1% ),"48.75x ( +4,775% )","$ 5,850,158","12,368,200",,Depends on BNB Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-finance-lab,3670000,100000000,133333334,100000000,IEO ,2020-10,$ 0.02,"12.58x ( +1,157.7% )","146.15x ( +14,515.4% )","$ 2,000,000","100,000,000",No lockup,Allocation per winning ticket: 200 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
