asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
goldfinch-finance,11000000,11428571,,,Seed ,2021-06,,,,"$ 11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biconomy,23160500,100000000,188800000,52000000,ICO ,2021-10,$ 0.250,3.6x ( +260.3% ),"83.92x ( +8,292.1% )","$ 10,000,000","40,000,000","3-month linear release, starting around November 23, 2021","$100 min,  $1,000 max",ICO ,2021-10,$ 0.150,6.01x ( +500.6% ),"139.87x ( +13,886.9% )","$ 1,500,000","10,000,000","10% unlock on or around November 23, 2021, followed by a 6-month cliff, and following that 6-month monthly release","$100 min,  $1,000 max",IEO ,2021-12,$ 0.300,3x ( +200.3% ),"69.93x ( +6,893.4% )","$ 600,000","2,000,000",,,,,,,,,,,,,,,,,,,,
reef,3900000,1746733487,4215238096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bifrost,,236858407,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadium,,200000000,,49996600,ICO ,2018-09,$ 0.0425,1.5x ( +50.4% ),10.51x ( +951.5% ),,"49,996,600",,0.5/3 ETH (15 ETH for CEN Community members),Private/Pre-sale ,2018-09,$ 0.0325,1.97x ( +96.6% ),"13.75x ( +1,275% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prometeus,4850000,2000000,4000000,850000,Private/Pre-sale ,2019-01,$ 1.00,6.58x ( +558.2% ),"106.38x ( +10,538.5% )","$ 4,000,000","4,000,000",,,ICO ,2019-05,$ 1.00,6.58x ( +558.2% ),"106.38x ( +10,538.5% )","$ 850,000","850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orchid-labs,48000000,100000000,,,Private/Pre-sale ,2017-10,,,,"$ 48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quarkchain,20000000,1000000000,,,ICO ,2018-06,$ 0.0197,0.78x ( -21.8% ),"17.34x ( +1,634% )","$ 20,000,000",,,"0.0001 ETH / 0.693 ETH for the first 12 hours, and will double every 6 hours afterwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gensokishi,200002,40000000,100000000,10526421,IDO ,2022-01,$ 0.019,"49.1x ( +4,809.5% )","87.4x ( +8,639.9% )","$ 200,002","10,526,421","28 months lock up, 3,5 months release cycle, released in 9 installments of 1/9 each",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-farm,1450000,99999807,,10000000,IDO ,2021-02,$ 0.025,"14.19x ( +1,319.1% )","189.33x ( +18,833.2% )","$ 250,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango-markets,70462384,500000000,,,Seed ,2021-08,$ 0.141,0.68x ( -32.3% ),3.62x ( +261.8% ),"$ 70,462,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aelf,24750000,88000000,,,ICO ,2017-12,$ 0.099,2.2x ( +119.8% ),"27.94x ( +2,693.6% )","$ 24,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield-guild-games,13825000,100000000,132500000,25000000,IDO ,2021-07,$ 0.200,5.57x ( +457.5% ),"56.89x ( +5,588.9% )","$ 12,500,000","25,000,000",,$1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nkn,12600000,100000000,,,ICO ,2018-04,$ 0.130,1.13x ( +13% ),"11.42x ( +1,041.7% )","$ 12,600,000",,,1 ETH / 10 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bloktopia,5200000,20000000000,30571428571,2800000000,Private 2 ,,$ 0.000175,"62.27x ( +6,126.6% )","997.51x ( +99,651.4% )","$ 2,100,000","12,000,000,000","5% at listing, 10% distribution 2, 3, 4 & 5, 15% distribution 6, 7, 25% distribution 8",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 100,000","400,000,000","10% at listing, 20% distribution 2, 3 & 4 & 30% distribution 5",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 250,000","1,000,000,000","10% at listing, 20% distribution months 2, 3 & 4 & 30% distribution month 5",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 250,000","1,000,000,000",,,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 100,000","400,000,000","10% at listing, 20% distribution 2, 3 & 4 & 30% distribution 5",
beta-finance,5750000,100000000,150000000,50000000,IEO ,2021-10,$ 0.06,3.75x ( +275.2% ),"76.67x ( +7,567.4% )","$ 3,000,000","50,000,000",Token distribution after the end of token sale,Max 20000 USD per user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampleforth,5000000,8666978,,5269156,IEO ,2019-06,$ 0.980,1.07x ( +7.02% ),4.12x ( +311.7% ),"$ 5,000,000","5,269,156",,"Maximum Contribution : 1.313 BTC - 10,512 USD

Minimum Contribution : 0.00262 BTC - 21 USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utrust,21000000,50000000,,,ICO ,2017-11,$ 0.065,2.97x ( +196.9% ),"21.69x ( +2,069.2% )","$ 21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singularitynet,32847814,114026792,,,ICO ,2017-12,$ 0.100,0.87x ( -13% ),"18.2x ( +1,720% )","$ 32,847,814",,,No / 5 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polkastarter,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qredo,17250000,96000000,72160000,40000000,ICO ,2021-07,$ 0.500,2.6x ( +160.2% ),"19.44x ( +1,843.9% )","$ 15,000,000","30,000,000","2-month lockup, unlock on or around Sept 8, 2021",$100 / $500,IDO ,2021-07,$ 0.225,5.78x ( +478.2% ),"43.2x ( +4,219.7% )","$ 2,250,000","10,000,000","6-month lockup, 12-month weekly linear release",$100 / $1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien-worlds,2513000,124047307,1049523809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electroneum,39934610,2100000000,,,ICO ,2017-10,$ 0.01,0.46x ( -53.9% ),4.15x ( +315.1% ),"$ 39,934,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-money,2053500,11623054,8985000,300000,IDO ,2021-01,$ 0.500,2.87x ( +187.5% ),7.85x ( +684.6% ),"$ 150,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcad-network,3965250,19899813,33900000,7800000,IDO ,2021-05,$ 0.100,"33.73x ( +3,273.3% )","90.82x ( +8,982.3% )","$ 755,000","7,550,000","20% at the TGE, then 20% on a quarterly basis",$750,IEO ,2021-05,$ 0.100,"33.73x ( +3,273.3% )","90.82x ( +8,982.3% )","$ 25,000","250,000","20% at the TGE, then 20% on a quarterly basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomochain,8575000,10000000,,,ICO ,2018-03,$ 0.250,3.62x ( +261.5% ),"15.65x ( +1,465.5% )","$ 8,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kardiachain,1080000,500000000,816000000,750000000,Private ,2019-06,$ 0.0025,8.86x ( +786.1% ),"63.09x ( +6,209.1% )",,"816,000,000",6 month with 10 month vesting,,IEO ,2020-04,$ 0.00144,"15.38x ( +1,438.3% )","109.53x ( +10,853.3% )","$ 1,080,000","750,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gxchain,,10000000,,,ICO ,2017-04,$ 0.130,7.76x ( +676.1% ),"86.48x ( +8,548.2% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass-vehicle-ledger,9971500,3000000000,,,ICO ,2018-05,$ 0.0024,3.31x ( +230.6% ),"29.43x ( +2,842.5% )","$ 9,971,500",,,0.1 ETH / 300 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
augur,,696734,,,ICO ,2015-10,$ 0.600,"17.84x ( +1,683.7% )","205.4x ( +20,440.2% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orionprotocol,7460000,10000000,37700000,,Private ,2020-06,$ 0.100,"21.26x ( +2,026.4% )","293.74x ( +29,273.8% )","$ 3,410,000","34,100,000",10% released immediately and 15% each month for 6 months,,IDO ,2020-07,$ 0.100,"21.26x ( +2,026.4% )","293.74x ( +29,273.8% )","$ 3,750,000",,No vesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star-link,80968,1000000000000,,7367500115,IEO ,2021-08,$ 0.000011,0.66x ( -33.7% ),8.01x ( +700.8% ),"$ 80,968","7,367,500,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aioz-network,1350000,100000000,73000000,16999999,IDO ,2021-04,$ 0.015,8.57x ( +757.1% ),"184.91x ( +18,391.5% )","$ 100,000","6,666,666",,,IDO ,2021-04,$ 0.015,8.57x ( +757.1% ),"184.91x ( +18,391.5% )","$ 155,000","10,333,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
covalent-new,15260937,100000000,330422789,31400000,ICO ,2021-04,$ 0.250,0.91x ( -9.15% ),8.38x ( +737.6% ),"$ 2,100,000","8,400,000",24-month linear release; 1st release end of month 1,$100 / $1500,ICO ,2021-04,$ 0.350,0.65x ( -35.1% ),5.98x ( +498.3% ),"$ 4,025,000","11,500,000",Freely tradeable ,$100 / $500,ICO ,2021-04,$ 0.300,0.76x ( -24.3% ),6.98x ( +598% ),"$ 3,450,000","11,500,000",12-month linear release; 1st release end of month 1 ,$100 / $1000,,,,,,,,,,,,,,,,,,
itheum,6000000,100000000,200000000,50000000,IDO ,2022-03,$ 0.04,10.67x ( +966.7% ),"17.46x ( +1,645.6% )","$ 2,000,000","50,000,000",No lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thundercore,500000,1000000000,,33333333,IEO ,2019-05,$ 0.015,0.51x ( -48.8% ),3.49x ( +248.8% ),"$ 500,000","33,333,333",,"100HT worth of TT tokens as basic cap, with an additional cap that equals the number of TT tokens equivalent to users’ minimum HT holding amount over 7 days period before launch (5000 HT worth of TT tokens at maximum for additional cap)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victoria-vr,13865920,1680000000,4230711863,137288135,IEO ,2021-11,$ 0.00295,"23.92x ( +2,292.3% )","212.87x ( +21,186.9% )","$ 300,000","101,694,915","10% will be unlocked on TGE, after 2 months cliff, the remaining 90% will be on monthly linear vesting for 9 months",,IDO ,2021-11,$ 0.00295,"23.92x ( +2,292.3% )","212.87x ( +21,186.9% )","$ 100,000","35,593,220","50% on TGE, 4 month cliff, then the other 50%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hathor,500000,86946448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
certi-k,39430000,10892482,38000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cocos-bcx-token,44890000,6686063,22400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blox,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unibright,13542375,15000000,,,ICO ,2018-05,$ 0.140,3.18x ( +218% ),"30.17x ( +2,917% )","$ 13,542,375",,,100 UBT / TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aergo,30000000,50000000,,,Private/Pre-sale ,2018-06,$ 0.200,0.92x ( -8.36% ),3.22x ( +222.1% ),"$ 30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pond_uniswap,3000000,503375305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurory,108845573,10000000,,7000000,IDO ,2021-10,$ 15.55,0.44x ( -55.5% ),1.5x ( +49.7% ),"$ 108,845,573","7,000,000",100% of a Public sale supply will be unlocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvision-network,100450,100000000,,205000,IEO ,2021-10,$ 0.490,0.54x ( -45.8% ),6.47x ( +547.3% ),"$ 100,450","205,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safepal,7264600,50000000,75000000,50000000,IEO ,2021-02,$ 0.100,6x ( +500.4% ),"43.69x ( +4,269.5% )","$ 5,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clover,57395493,100000000,125000000,187727469,ICO ,2021-04,$ 0.290,0.86x ( -14.3% ),7.29x ( +629.3% ),"$ 11,600,000","40,000,000",6-month monthly release period beginning on 11/24/2021,,ICO ,2021-04,$ 0.350,0.71x ( -29% ),6.04x ( +504.3% ),"$ 12,250,000","35,000,000",Freely trading 40 days from 04/24/2021,,ICO ,2021-04,$ 0.200,1.24x ( +24.3% ),10.57x ( +957.5% ),"$ 15,000,000","75,000,000",6-month monthly release period beginning on 04/24/2022,$100 / $1000,ICO ,2021-05,$ 0.200,1.24x ( +24.3% ),10.57x ( +957.5% ),"$ 7,545,493","37,727,469","12-month lockup, 6-month monthly release period",$100 / $1000,,,,,,,,,
wanchain,35990000,21000000,,,ICO ,2017-10,$ 0.340,0.99x ( -1.48% ),"29.19x ( +2,818.6% )","$ 35,990,000",,,0.1 ETH / 6.8 ETH for first day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melon,,212503,,,ICO ,2017-02,$ 5.83,7.38x ( +638.4% ),"46.32x ( +4,532% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deapcoin,2000000,3000000000,3600000000,800000000,Private/Pre-sale ,2019-08,$ 0.005,2.55x ( +154.6% ),"19.12x ( +1,811.9% )",,"3,600,000,000",6 months after listing (will be released once every month over 1 year),,IEO ,2020-04,$ 0.0025,5.09x ( +409.1% ),"38.24x ( +3,723.7% )","$ 2,000,000","800,000,000",,300 USD/4000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,
concordium,52117000,1090984616,5454000000,,Seed ,2018-10,$ 0.00071,"40.37x ( +3,937% )","173.24x ( +17,223.9% )","$ 1,775,000","2,500,000,000","0% at TGE, 5 months cliff, vesting from 6th to 18th month",,Strategic ,2020-09,$ 0.0054,5.31x ( +430.8% ),"22.78x ( +2,177.8% )","$ 5,400,000","1,000,000,000","5% at TGE, 0 month cliff, vesting from 1st to 9th month",,Private ,2021-06,$ 0.023,1.25x ( +24.6% ),5.35x ( +434.8% ),"$ 44,942,000","1,954,000,000","5% at TGE, 0 month cliff, vesting from 1st to 9th month",,,,,,,,,,,,,,,,,,,
lto-network,950000,40193124,,,IDO ,2019-01,$ 0.0302,5.23x ( +422.7% ),"30.03x ( +2,903.2% )","$ 950,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handshake,10200000,204000000,,102000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carry-protocol,12879947,1000000000,,325000000,ICO ,2018-09,$ 0.0041,1.59x ( +59.1% ),"20.26x ( +1,926.4% )","$ 12,879,947","325,000,000",,0.1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mainframe,20600000,1000000000,,,ICO ,2018-04,$ 0.0041,1.49x ( +48.7% ),8.65x ( +765% ),"$ 20,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,2000000,1000000000,,47222222,ICO ,2020-09,$ 0.004,4.04x ( +304.5% ),"250x ( +24,900% )","$ 100,000","25,000,000",No lockup,Fixed cap - 500 USDT,ICO ,2020-09,$ 0.0045,3.6x ( +259.5% ),"222.22x ( +22,122.2% )","$ 100,000","22,222,222",No lockup,Fixed cap - 500 USDT,Private ,2020-09,,,,"$ 1,800,000",,,,,,,,,,,,,,,,,,,,,
acala-network,20400000,100000000,,47000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loom-network,45808270,100000000,,,ICO ,2018-01,$ 0.076,0.89x ( -11% ),10.19x ( +919% ),"$ 45,808,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elastos,94073200,2490236,,,ICO ,2018-01,$ 18.09,0.14x ( -85.8% ),5.19x ( +419.4% ),"$ 94,073,200",,,0.1 BTC / 0.30691 BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonfida,600000,100000000,100000000,6000000,ICO ,2020-12,$ 0.100,9.17x ( +817.3% ),"287.74x ( +28,674.4% )","$ 200,000","2,000,000",,max $4000,IEO ,2020-12,$ 0.100,9.17x ( +817.3% ),"287.74x ( +28,674.4% )","$ 200,000","2,000,000",,"max 300 USDT + up to 2,700 BTMX or 27,000 BTXMP",IEO ,2020-12,$ 0.100,9.17x ( +817.3% ),"287.74x ( +28,674.4% )","$ 200,000","2,000,000",,min $150 / max $200,,,,,,,,,,,,,,,,,,
verasity,19151838,1931063653,,,ICO ,2018-09,$ 0.0075,1.57x ( +57.1% ),"11.52x ( +1,052.5% )","$ 19,151,838",,,100USD / 50000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genopets,1160000,10000000,,1450000,IDO ,2021-11,$ 0.800,"17.63x ( +1,663.4% )","47.18x ( +4,618.1% )","$ 400,000","500,000",,,IEO ,2021-11,$ 0.800,"17.63x ( +1,663.4% )","47.18x ( +4,618.1% )","$ 200,000","250,000",No Lock-Up,Cap per user is 500 GENE,IEO ,2021-11,$ 0.800,"17.63x ( +1,663.4% )","47.18x ( +4,618.1% )","$ 200,000","250,000",,Token allocation per ticket: 250 GENE,IDO ,2021-11,$ 0.800,"17.63x ( +1,663.4% )","47.18x ( +4,618.1% )","$ 360,000","450,000",,,,,,,,,,,
velo,2000000,2799999894,,40000000,IEO ,2020-09,$ 0.05,0.85x ( -15.4% ),"40.17x ( +3,916.9% )","$ 2,000,000","40,000,000",,Max: 5 winning tickets or $250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swarm,15933953,6436600,26000000,5173934,ICO ,2021-06,$ 1.92,0.42x ( -58.3% ),"11.16x ( +1,015.8% )","$ 9,933,953","5,173,934","Tokens unlock on or around August 2, 2021",$100 / $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitmart-token,22260000,88586390,,300000000,ICO ,2018-01,$ 0.130,2.24x ( +124.5% ),3.27x ( +227.5% ),"$ 22,260,000","300,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-f-1-team-fan-token,4000000,4000000,,4000000,IEO ,2022-02,$ 1.00,4.55x ( +355.4% ),"11.48x ( +1,048.2% )","$ 4,000,000","4,000,000",No lockup,Hardcap per user $10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
